Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
365,2019-02-07T05:22:26.849,35.7787,129.1775,14.4,0
366,2019-02-07T23:03:54.680,35.789,129.363,13.2,1.1
367,2019-02-08T02:42:55.822,35.7623,129.1926,12.5,0.2
368,2019-02-08T12:43:35.165,35.7673,129.1972,13.4,0
369,2019-02-09T08:05:44.605,35.7868,129.1787,14.2,-0.3
370,2019-02-09T10:07:54.141,35.7796,129.1791,12.5,-0.5
371,2019-02-09T11:36:14.593,35.7769,129.4064,13.1,0
372,2019-02-09T11:50:46.584,35.7737,129.1767,12.5,-0.3
373,2019-02-09T13:44:32.412,35.7264,129.3971,14.1,-0.1
374,2019-02-09T18:02:45.071,35.7257,129.3673,11.4,-0.3
375,2019-02-10T08:11:36.609,35.7569,129.1882,12.5,0.2
376,2019-02-10T10:22:34.953,35.7609,129.1919,13.6,-0.3
377,2019-02-10T15:32:48.434,35.7731,129.1944,12.6,-0.4
378,2019-02-11T09:45:20.333,35.7635,129.198,14.5,0.6
379,2019-02-11T14:08:30.100,35.8158,129.3002,9.6,-0.1
380,2019-02-11T18:39:15.833,35.7659,129.1951,12.6,0
381,2019-02-12T02:02:03.847,35.7692,129.1979,13.3,0.7
382,2019-02-12T09:50:34.473,35.7176,129.3532,9.4,0.3
383,2019-02-13T03:15:16.814,35.7696,129.1719,12.4,-0.1
384,2019-02-13T10:48:46.895,35.7324,129.3682,12.1,0.2
